<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.04	08:00:00	14222.8970	14233.9740	14208.0860	14208.4970	3526	0	1420
2024.01.04	09:00:00	14208.4900	14229.0990	14197.2620	14208.1200	3537	0	1410
2024.01.04	10:00:00	14208.1200	14208.1200	14163.4300	14163.4300	3528	0	1410
2024.01.04	11:00:00	14163.4270	14213.5560	14161.1970	14198.7010	3541	0	1410
2024.01.04	12:00:00	14198.6840	14212.8390	14189.3880	14193.4340	3533	0	1410
2024.01.04	13:00:00	14193.4210	14193.4210	14145.3270	14145.3270	3521	0	1410
2024.01.04	14:00:00	14145.3120	14161.5200	14132.9690	14141.4350	3539	0	1410
2024.01.04	15:00:00	14141.4200	14204.4430	14139.9010	14202.0930	3525	0	1410
2024.01.04	16:00:00	14202.0700	14202.0700	14150.0330	14150.0330	3516	0	1410
2024.01.04	17:00:00	14150.0160	14150.0160	14106.1250	14106.1250	3519	0	1410
2024.01.04	18:00:00	14106.1190	14167.2430	14105.4630	14159.4540	3527	0	1410
2024.01.04	19:00:00	14159.4350	14169.4690	14143.6680	14168.1620	3528	0	1410
2024.01.04	20:00:00	14168.1530	14168.1530	14130.7040	14153.0060	3533	0	1410
2024.01.04	21:00:00	14152.9980	14152.9980	14103.8150	14103.8150	3537	0	1410
2024.01.04	22:00:00	14103.7870	14120.5270	14076.7790	14076.7790	3523	0	1400
2024.01.04	23:00:00	14076.7750	14112.0730	14058.7690	14105.1700	3523	0	1400
2024.01.05	00:00:00	14105.1280	14105.1840	14074.1310	14074.1310	3533	0	1400
2024.01.05	01:00:00	14074.1080	14096.0470	14048.0670	14048.0670	3539	0	1400
2024.01.05	02:00:00	14048.0530	14048.2240	14014.5430	14014.5430	3523	0	1400
2024.01.05	03:00:00	14014.5420	14083.8590	14010.1820	14066.8780	3532	0	1400
2024.01.05	04:00:00	14066.8590	14137.8680	14060.2410	14131.8280	3525	0	1400
2024.01.05	05:00:00	14131.8270	14179.0350	14121.7420	14178.1280	3524	0	1410
2024.01.05	06:00:00	14178.1150	14192.4410	14169.1000	14181.7190	3525	0	1410
2024.01.05	07:00:00	14181.7100	14181.7100	14141.4090	14146.6980	3529	0	1410
2024.01.05	08:00:00	14146.6940	14249.1980	14146.4030	14247.1200	3535	0	1410
2024.01.05	09:00:00	14247.0940	14247.0940	14202.4410	14202.4410	3529	0	1420
2024.01.05	10:00:00	14202.4270	14202.4270	14171.7520	14171.7520	3513	0	1410
2024.01.05	11:00:00	14171.7100	14208.9330	14167.7750	14200.9490	3517	0	1410
2024.01.05	12:00:00	14200.9440	14200.9440	14165.8870	14184.6240	3516	0	1410
2024.01.05	13:00:00	14184.6230	14208.0830	14178.5920	14205.6110	3537	0	1410
2024.01.05	14:00:00	14205.6050	14227.9520	14185.8340	14202.9340	3526	0	1410
2024.01.05	15:00:00	14202.9230	14222.8550	14197.3960	14214.3670	3532	0	1410
2024.01.05	16:00:00	14214.3490	14222.1870	14183.7670	14183.7670	3524	0	1410
2024.01.05	17:00:00	14183.7530	14194.1380	14159.8890	14169.3010	3524	0	1410
2024.01.05	18:00:00	14169.2960	14172.5560	14141.3590	14141.4840	3538	0	1410
2024.01.05	19:00:00	14141.4730	14153.5240	14126.9510	14126.9510	3529	0	1410
2024.01.05	20:00:00	14126.9440	14136.9520	14104.8330	14109.2860	3521	0	1410
2024.01.05	21:00:00	14109.2680	14132.8050	14102.6900	14111.6420	3541	0	1410
2024.01.05	22:00:00	14111.6130	14173.2590	14109.7830	14171.1760	3526	0	1410
2024.01.05	23:00:00	14171.1440	14171.7580	14154.2860	14158.1340	3519	0	1410
2024.01.06	00:00:00	14158.1280	14158.1280	14116.4230	14138.7270	3537	0	1410
2024.01.06	01:00:00	14138.7260	14144.9510	14113.6120	14124.7460	3514	0	1410
2024.01.06	02:00:00	14124.7430	14183.8190	14118.0270	14148.5130	3535	0	1410
2024.01.06	03:00:00	14148.5080	14210.9270	14145.4710	14186.3750	3524	0	1410
2024.01.06	04:00:00	14186.3620	14232.2980	14158.8650	14223.3830	3535	0	1410
2024.01.06	05:00:00	14223.3690	14258.2330	14220.5320	14244.4510	3543	0	1420
2024.01.06	06:00:00	14244.4450	14244.4450	14207.7540	14213.9800	3515	0	1420
2024.01.06	07:00:00	14213.9530	14218.5990	14183.6930	14183.6930	3539	0	1410
2024.01.06	08:00:00	14183.6740	14183.6740	14157.2670	14159.7580	3524	0	1410
2024.01.06	09:00:00	14164.3880	14164.3880	14128.4020	14141.2010	3524	0	1410
2024.01.06	10:00:00	14141.1840	14158.8190	14131.0970	14157.4980	3530	0	1410
2024.01.06	11:00:00	14157.4900	14250.0890	14149.6820	14240.6860	3525	0	1410
2024.01.06	12:00:00	14240.6800	14240.6800	14200.7920	14200.7920	3540	0	1420
2024.01.06	13:00:00	14200.7810	14200.7810	14150.3230	14150.3230	3543	0	1410
2024.01.06	14:00:00	14150.3140	14203.3390	14135.8900	14189.6750	3533	0	1410
2024.01.06	15:00:00	14189.6610	14189.6610	14145.5680	14159.8380	3536	0	1410
2024.01.06	16:00:00	14159.8310	14159.8310	14116.0820	14116.0820	3528	0	1410
2024.01.06	17:00:00	14116.0720	14129.4990	14092.1790	14110.7530	3526	0	1400
2024.01.06	18:00:00	14110.7440	14147.4020	14107.5010	14141.7300	3535	0	1410
2024.01.06	19:00:00	14141.7110	14181.6750	14134.0900	14172.8770	3536	0	1410
2024.01.06	20:00:00	14172.8400	14202.0150	14160.1180	14191.2440	3529	0	1410
2024.01.06	21:00:00	14191.2090	14222.3910	14181.7190	14218.1670	3524	0	1410
2024.01.06	22:00:00	14218.1610	14243.9610	14211.5740	14211.5740	3536	0	1420
2024.01.06	23:00:00	14211.5650	14211.5650	14171.0040	14173.5820	3525	0	1410
2024.01.07	00:00:00	14173.5740	14189.7830	14144.5140	14144.5140	3530	0	1410
2024.01.07	01:00:00	14144.5130	14151.4710	14123.7930	14143.8010	3533	0	1410
2024.01.07	02:00:00	14143.7830	14153.0620	14125.5370	14125.5370	3533	0	1410
2024.01.07	03:00:00	14125.5210	14178.5840	14121.3710	14136.5610	3532	0	1410
2024.01.07	04:00:00	14136.5420	14136.5420	14098.8580	14118.1430	3522	0	1410
2024.01.07	05:00:00	14118.1280	14198.9560	14116.4680	14174.6290	3532	0	1410
2024.01.07	06:00:00	14174.6270	14212.1560	14174.6250	14178.9450	3529	0	1410
2024.01.07	07:00:00	14178.9450	14192.6540	14158.4210	14184.9580	3528	0	1410
2024.01.07	08:00:00	14184.9220	14184.9220	14151.7920	14167.8350	3534	0	1410
2024.01.07	09:00:00	14167.8070	14167.8070	14126.6070	14126.6070	3537	0	1410
2024.01.07	10:00:00	14126.5850	14233.8510	14125.4690	14227.7680	3525	0	1410
2024.01.07	11:00:00	14227.7510	14227.7510	14187.9930	14187.9930	3525	0	1410
2024.01.07	12:00:00	14187.9730	14197.4610	14151.5030	14196.4830	3542	0	1410
